City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
282,Grand Gaube,MU,-20.0064,57.6608,77.38,67,7,13.0,clear sky
283,Naryan-Mar,RU,67.6713,53.087,41.92,87,100,18.61,overcast clouds
284,Benghazi,LY,32.1167,20.0667,76.95,61,11,15.17,few clouds
285,Husavik,IS,66.0449,-17.3389,42.91,96,100,11.16,overcast clouds
286,Waitara,NZ,-38.925,174.25,59.22,74,84,17.16,broken clouds
287,Lagoa,PT,39.05,-27.9833,73.33,86,19,13.2,light rain
288,Bulungu,CD,-4.55,18.6,73.09,87,100,5.14,light rain
289,Berdigestyakh,RU,62.0989,126.6992,35.35,61,100,9.37,overcast clouds
290,Komsomolskiy,UZ,40.4272,71.7189,83.12,26,0,4.61,clear sky
291,Raga,SS,8.4596,25.678,74.86,90,98,2.95,overcast clouds
292,Westport,US,41.1415,-73.3579,73.22,86,20,13.8,few clouds
293,Severo-Kurilsk,RU,50.6789,156.125,52.5,67,0,14.05,clear sky
294,Sanandaj,IR,35.3144,46.9923,73.42,22,40,0.0,scattered clouds
295,Ambilobe,MG,-13.2,49.05,84.9,47,80,12.48,broken clouds
296,Keningau,MY,5.3378,116.1602,90.23,51,97,1.14,overcast clouds
297,Yasothon,TH,15.75,104.1333,89.04,70,97,4.9,overcast clouds
298,Corinth,GR,37.9407,22.9573,68.9,61,98,9.8,overcast clouds
299,Necochea,AR,-38.5473,-58.7368,41.68,80,90,6.71,overcast clouds
300,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,78.53,55,17,0.47,few clouds
301,Zhanakorgan,KZ,43.9098,67.2495,88.23,10,0,7.27,clear sky
302,Bowen,AU,-20.0167,148.2333,78.53,69,17,12.8,few clouds
303,Beringovskiy,RU,63.05,179.3167,44.47,85,69,7.16,light rain
304,Fortuna,US,40.5982,-124.1573,57.09,88,36,3.53,scattered clouds
305,Jieshi,CN,22.8134,115.8257,82.44,68,33,12.48,scattered clouds
306,Ponta Delgada,PT,37.7333,-25.6667,68.72,88,20,2.3,few clouds
307,Adre,TD,13.4667,22.2,79.32,51,62,2.01,broken clouds
308,Grindavik,IS,63.8424,-22.4338,48.15,100,75,6.91,broken clouds
309,Maple Creek,CA,49.9168,-109.4848,50.41,37,2,5.75,clear sky
310,Alexandria,EG,31.2156,29.9553,73.94,54,0,3.69,clear sky
311,Burnie,AU,-41.0667,145.9167,64.94,53,61,3.96,broken clouds
312,Hastings,GB,50.8552,0.5729,56.52,99,47,6.69,scattered clouds
313,Snezhnogorsk,RU,69.1933,33.2531,42.58,89,100,11.72,overcast clouds
